axis,value,chunk_size,top_k,alpha,retriever,dataset,recall_at_10,mrr,ndcg_at_10
alpha,0.0,192,10,0.0,hybrid,fiqa,0.20618808917420028,0.20511953752694495,0.16124389597105915
alpha,0.25,192,10,0.25,hybrid,fiqa,0.2912374362605844,0.3112176660787772,0.24354346424811504
alpha,0.5,192,10,0.5,hybrid,fiqa,0.3851476926708408,0.3706900352733686,0.3051820180820295
alpha,0.75,192,10,0.75,hybrid,fiqa,0.43260215864382534,0.41138545953360767,0.3465983210647376
alpha,1.0,192,10,1.0,hybrid,fiqa,0.44656575848705476,0.4549829757005683,0.378574895228534
top_k,5.0,192,5,0.5,hybrid,fiqa,0.3031280019705946,0.3580504115226338,0.2695551277838336
top_k,10.0,192,10,0.5,hybrid,fiqa,0.3851476926708408,0.3706900352733686,0.3051820180820295
top_k,15.0,192,15,0.5,hybrid,fiqa,0.39125623176549107,0.37827240489277525,0.3087579493386387
top_k,20.0,192,20,0.5,hybrid,fiqa,0.38971057234946127,0.3822025069149467,0.30879069284551325
chunk_size,192.0,192,10,0.5,hybrid,fiqa,0.3851476926708408,0.369918430335097,0.3046124652326027
chunk_size,256.0,256,10,0.5,hybrid,fiqa,0.38931567832030795,0.369421173819322,0.30751322868591585
chunk_size,384.0,384,10,0.5,hybrid,fiqa,0.39352276238850314,0.37700494806976287,0.3116320194959673
chunk_size,512.0,512,10,0.5,hybrid,fiqa,0.3936752462215425,0.37386157652361357,0.3123384474319656
