axis,value,chunk_size,top_k,alpha,retriever,dataset,recall_at_10,mrr,ndcg_at_10
alpha,0.0,192,10,0.0,hybrid,nfcorpus,0.13250885707471205,0.48398692810457516,0.26037114649976967
alpha,0.25,192,10,0.25,hybrid,nfcorpus,0.1404660531196485,0.5389257457368912,0.2895587317043038
alpha,0.5,192,10,0.5,hybrid,nfcorpus,0.14502405363562368,0.5357511425622881,0.29962218610053754
alpha,0.75,192,10,0.75,hybrid,nfcorpus,0.14683038508247623,0.5094021819254018,0.3014662102606655
alpha,1.0,192,10,1.0,hybrid,nfcorpus,0.1439736969825067,0.49707233770701265,0.2884209772720222
top_k,5.0,192,5,0.5,hybrid,nfcorpus,0.10807073105600157,0.5109391124871001,0.23731165025139006
top_k,10.0,192,10,0.5,hybrid,nfcorpus,0.14502405363562368,0.5357511425622881,0.29962218610053754
top_k,15.0,192,15,0.5,hybrid,nfcorpus,0.16165342744752656,0.5368895638245483,0.3282719182436046
top_k,20.0,192,20,0.5,hybrid,nfcorpus,0.1677615829417941,0.5394579706499212,0.3375048455717916
chunk_size,192.0,192,10,0.5,hybrid,nfcorpus,0.14406086134116203,0.5357511425622881,0.2989109837365234
chunk_size,256.0,256,10,0.5,hybrid,nfcorpus,0.1523822314143721,0.5383839500712566,0.30897773979705917
chunk_size,384.0,384,10,0.5,hybrid,nfcorpus,0.16213844361091992,0.5338984716693695,0.32454076894519407
chunk_size,512.0,512,10,0.5,hybrid,nfcorpus,0.1649833766836776,0.5460059462381444,0.3332916530808459
