axis,value,chunk_size,top_k,alpha,retriever,dataset,recall_at_10,mrr,ndcg_at_10
alpha,0.0,192,10,0.0,hybrid,scifact,0.7062222222222222,0.5786269841269841,0.6019843333118852
alpha,0.25,192,10,0.25,hybrid,scifact,0.7494999999999999,0.6255317460317461,0.6499789836491099
alpha,0.5,192,10,0.5,hybrid,scifact,0.7725,0.6317936507936508,0.6622612740303715
alpha,0.75,192,10,0.75,hybrid,scifact,0.8019444444444445,0.6413875661375661,0.6762240251747192
alpha,1.0,192,10,1.0,hybrid,scifact,0.7854444444444444,0.6205714285714286,0.6559023607595666
top_k,5.0,192,5,0.5,hybrid,scifact,0.7289444444444445,0.6288888888888888,0.6475400310459026
top_k,10.0,192,10,0.5,hybrid,scifact,0.7725,0.6317936507936508,0.6622612740303715
top_k,15.0,192,15,0.5,hybrid,scifact,0.7972222222222222,0.6355329855329855,0.6712535515923651
top_k,20.0,192,20,0.5,hybrid,scifact,0.8197222222222222,0.6383787383640325,0.6780231293426262
chunk_size,192.0,192,10,0.5,hybrid,scifact,0.7725,0.6317936507936508,0.6622612740303715
chunk_size,256.0,256,10,0.5,hybrid,scifact,0.7787777777777778,0.638015873015873,0.6662421710656242
chunk_size,384.0,384,10,0.5,hybrid,scifact,0.8162222222222223,0.655079365079365,0.6876157381829681
chunk_size,512.0,512,10,0.5,hybrid,scifact,0.820388888888889,0.656489417989418,0.689212438827206
